epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3135,0.80611,3.21526,0.97792,0.64723,0.08276,0.14645,0.10059,1.21701,3.60207,0.69589,0.000472612,0.000472612,0.000472612
2,19.8882,0.85129,2.42081,0.92219,0.77558,0.45266,0.49215,0.29124,1.31552,2.96728,0.67915,0.000930156,0.000930156,0.000930156
3,29.6836,0.82858,2.27561,0.9284,0.64912,0.52387,0.54712,0.40711,1.09666,2.46914,0.60616,0.00136884,0.00136884,0.00136884
4,39.2736,0.84473,1.97646,0.93442,0.7566,0.5468,0.61395,0.42363,1.08299,2.81817,0.63253,0.00134412,0.00134412,0.00134412
5,51.8999,0.86672,1.83858,0.91214,0.54375,0.68437,0.61213,0.44033,1.12653,1.89091,0.61992,0.00131582,0.00131582,0.00131582
6,97.7141,0.88112,1.70313,0.91179,0.79778,0.55542,0.64572,0.46425,1.11011,1.70036,0.62807,0.00128753,0.00128753,0.00128753
7,127.48,0.81142,1.57467,0.89705,0.85755,0.51354,0.65914,0.42091,1.10443,1.7305,0.62997,0.00125923,0.00125923,0.00125923
8,157.255,0.79731,1.6024,0.89883,0.76188,0.57888,0.61456,0.43931,1.10145,1.76554,0.6083,0.00123094,0.00123094,0.00123094
9,223.13,0.77119,1.48308,0.88,0.72194,0.55942,0.59212,0.3576,1.18469,1.83327,0.60134,0.00120265,0.00120265,0.00120265
10,277.455,0.80514,1.5104,0.89058,0.75311,0.57697,0.63596,0.45334,1.03596,1.53151,0.57691,0.00117435,0.00117435,0.00117435
11,332.608,0.73766,1.31431,0.88305,0.81636,0.53746,0.65088,0.50548,1.01391,1.56667,0.58377,0.00114606,0.00114606,0.00114606
12,388.413,0.75148,1.46545,0.88406,0.82067,0.55822,0.67609,0.4702,1.02258,1.4026,0.58847,0.00111776,0.00111776,0.00111776
13,443.896,0.72165,1.38042,0.87656,0.86058,0.5899,0.67609,0.45268,1.07581,1.34399,0.5928,0.00108947,0.00108947,0.00108947
14,498.669,0.68037,1.28787,0.87891,0.84738,0.56404,0.67839,0.48661,1.01361,1.27281,0.60076,0.00106118,0.00106118,0.00106118
15,553.188,0.71557,1.27746,0.86631,0.84671,0.56404,0.66746,0.47175,1.05012,1.30933,0.58367,0.00103288,0.00103288,0.00103288
16,608.321,0.68669,1.19901,0.86745,0.76138,0.59421,0.66515,0.53125,0.97692,1.27709,0.59393,0.00100459,0.00100459,0.00100459
17,663.795,0.65727,1.18271,0.86796,0.79873,0.57266,0.66336,0.51306,0.89832,1.30685,0.55608,0.000976293,0.000976293,0.000976293
18,718.293,0.68865,1.25657,0.85825,0.83944,0.60714,0.70058,0.56457,0.86374,1.18899,0.56576,0.000947999,0.000947999,0.000947999
19,772.585,0.63762,1.09951,0.85249,0.64549,0.70832,0.67939,0.50688,0.99971,1.17681,0.5951,0.000919704,0.000919704,0.000919704
20,829.835,0.62363,1.0881,0.86391,0.88468,0.54724,0.69256,0.55369,0.88941,1.18752,0.56329,0.00089141,0.00089141,0.00089141
21,883.897,0.65155,1.17245,0.84801,0.79659,0.56867,0.67997,0.54554,0.96906,1.23171,0.60728,0.000863116,0.000863116,0.000863116
22,931.489,0.66223,1.20715,0.85596,0.78055,0.5899,0.67331,0.50646,0.96563,1.2695,0.5763,0.000834822,0.000834822,0.000834822
23,978.971,0.6252,1.04751,0.85784,0.83442,0.5899,0.68359,0.53337,0.94445,1.2151,0.56846,0.000806528,0.000806528,0.000806528
24,1027.04,0.59747,1.02213,0.85915,0.92855,0.58128,0.70915,0.51638,0.92687,1.11322,0.57051,0.000778233,0.000778233,0.000778233
25,1072.87,0.66585,1.15993,0.84132,0.88255,0.55118,0.69019,0.46647,0.95957,1.25567,0.5679,0.000749939,0.000749939,0.000749939
26,1121.26,0.6284,1.08251,0.85172,0.86243,0.59421,0.70336,0.56447,0.88893,1.12761,0.57668,0.000721645,0.000721645,0.000721645
27,1168.32,0.59531,1.05254,0.84442,0.85186,0.58128,0.69415,0.53844,0.89727,1.0968,0.55358,0.000693351,0.000693351,0.000693351
28,1217.8,0.62352,1.06352,0.84635,0.85903,0.56636,0.66599,0.49827,0.89732,1.1736,0.55441,0.000665057,0.000665057,0.000665057
